spotify_id,name,artists
2ZWmmrWUgDBcPSLihBMvhg,Baddadan (feat. IRAH, Flowdan
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA
0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),Drake
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen
3JvrhDOgAt6p7K8mDyZwRd,Riptide,Vance Joy
3h2IRgTZrU4hSNCePszT23,Italia,UNDERGRUNN
64TE68KnBhfRpMYI7uwBpl,Kiss 2024 Stabekkrussen (Hjemmesnekk),Sportsalleen
6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny),Drake
5HR7yfhSCeoOHRQN05XnZQ,QUE VUELVAS,Grupo Frontera
6uIIdjYTxxpWOyWuVXrKQO,Que Onda,Calle 24
6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,Feid
1iLbUmb2b2btyAAcQ68a1p,Milo J: Bzrp Music Sessions, Vol. 57
7ucEkWU0SVy0XFdfXESgfY,LOS PITS,Bad Bunny
4Jc7252S1P99DjQ1lNGEOc,CYBERTRUCK,Bad Bunny
1U3A66OHQyTu4N2QTMsP86,GRACIAS POR NADA,Bad Bunny
1C7lXfx4Y5maVl4AgUVlHA,ACHO PR,Bad Bunny
4SW9gHnW8NfKOdqmh0ij45,Fruto,Bizarrap
6XbtvPmIpyCbjuT0e8cQtp,Columbia,Quevedo
7mXuWTczZNxG5EDcjFEuJR,LADY GAGA,Peso Pluma
4pcafPzLDSqQktqSpxHL3E,THUNDER Y LIGHTNING,Bad Bunny
2sTDlCxmuZCTDKKk9f1qus,WHERE SHE GOES,Bad Bunny
1ODFVLQszq0hCOdZtqV5wq,MR. OCTOBER,Bad Bunny
3NhstUmrlhaN1M6hP8zMbb,BABY NUEVA,Bad Bunny
5ixdmTpCmH5diBA1j154wN,UN PREVIEW,Bad Bunny
0O3U5iwTbiXCREMkvotJuN,EL AMOR DE SU VIDA,Grupo Frontera
2yzshFeBIwH8tWIqHEFLeD,un x100to,Grupo Frontera
5RqSsdzTNPX1uzkmlHCFvK,QLONA,KAROL G
1YnChEM51BVZ5dRhbVFEMl,SEDA,Bad Bunny
23d8v6tU6lR77pFKsApMtF,NADIE SABE,Bad Bunny
39L3LdlHS3gqB62HPWaJRg,NO ME QUIERO CASAR,Bad Bunny
0rDQZJtSGgsB2rdkObpdFa,VOU 787,Bad Bunny
6TBpPOmLOa1mInpq3PIz6N,Obapluto (feat. Pa Monday-Edo),Shallipopi
5bh6Uoxkt8Jjzhr1C4ibiD,COMMEND,ODUMODUBLVCK
7sFukIJffFFLwnazXIbqP5,KUBOLOR (feat. Amaarae),ODUMODUBLVCK
4jcrO2T6XJ1B7hXsAEJ3ve,Pidgin & English,Bnxn
6WUdooO1NS5LZadjGNwY5U,Puff & Pass,Zerrydl
5mhM7bfzv52bzfCzlq8vH1,Ngozi,Crayon
4bE2eWDiGBzRgfTl5IPBW4,Ask About Me,Mohbad
0tt7KXPcP2Vez6cOedspRE,Things on Things,Shallipopi
5ZtK8XAVnoaGdBXZWCEVCY,Lonely At The Top,Asake
4RoKNqyZ9622tcAeNPNv5k,City Boys,Burna Boy
5Trqt6aqWnhqAcWS4Zto7v,Oscroh (Pepperline),Shallipopi
35MU2MEhQMw0NhXZztAP9m,BLOOD ON THE DANCE FLOOR (feat. Bloody Civilian and Wale),ODUMODUBLVCK
2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,Feid
4eMKD8MRroxCqugpsxCCNb,MOJABI GHOST,Tainy
3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,Manuel Turizo
5jt25aFjW2kNoBqaEVaz5W,LA INOCENTE,Mora
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin
3mRF0YNsDdFKFnxwg16hSz,VUELVE CANDY B,Bad Bunny
7E9GeFGfjXw9LAI4ay6rsw,El Tóxico,Grupo Firme
5qzLdvRViHUrRNdkpakG7C,BATICANO,Bad Bunny
5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny
505v13epFXodT9fVAJ6h8k,AMARGURA,KAROL G
3upTB6o5YgeALHgDp3mzte,Qué Onda Perdida,Grupo Firme
3TYOH7ta0101NYssoH5GlU,MERCEDES CAROTA,Bad Bunny
7MVIfkyzuUmQ716j8U7yGR,Rara Vez,Taiu
4qSEvFGCpde73gqIuq3sho,HIBIKI,Bad Bunny
