"spotify_id","name","artists","snapshot_date","is_explicit","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","__index_level_0__"
"17phhZDn6oGtzMe56NuWvj","Lose Control","Teddy Swims","2023-10-18 00:00:00.000000000",false,210688,0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3,1129585
"4uUG5RXrOk84mYEfFvj3cK","I'm Good (Blue)","David Guetta, Bebe Rexha","2023-10-18 00:00:00.000000000",true,175238,0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4,1129609
"7r8FHPasw67Nl4Hqyd4685","Superstars (mageplask)","Golfklubb","2023-10-18 00:00:00.000000000",true,157600,0.638,0.716,6,-7.287,0,0.0696,0.16,0,0.366,0.833,150.124,4,1129608
"3r0aM0M0toxEPbkYtXhNAZ","Fyll & Faenskap","Staysman, Sofie Svensson & Dom Där","2023-10-18 00:00:00.000000000",true,175075,0.6,0.866,10,-6.431,1,0.0382,0.000681,0,0.235,0.678,134.959,4,1129607
"1mea3bSkSGXuIRvnydlB5b","Viva La Vida","Coldplay","2023-10-18 00:00:00.000000000",false,242373,0.486,0.617,5,-7.115,0,0.0287,0.0954,0.00000323,0.109,0.417,138.015,4,1129606
"7DSAEUvxU8FajXtRloy8M0","Flowers","Miley Cyrus","2023-10-18 00:00:00.000000000",false,200600,0.706,0.691,0,-4.775,1,0.0633,0.0584,0.0000699,0.0232,0.632,118.048,4,1129605
"1XTY6rA7XQosc0ynkkE9kN","Black Friday","Tom Odell","2023-10-18 00:00:00.000000000",false,221510,0.48,0.199,6,-12.398,1,0.0329,0.931,0.0563,0.0978,0.201,165.476,4,1129604
"5JEzgajKcC4eIQfRu3cZk7","Is It Love","Loreen","2023-10-18 00:00:00.000000000",false,143669,0.43,0.788,6,-5.615,0,0.0684,0.119,0,0.11,0.33,120.275,4,1129603
"1DmW5Ep6ywYwxc2HMT5BG6","Tattoo","Loreen","2023-10-18 00:00:00.000000000",false,183374,0.545,0.779,3,-6.235,0,0.0751,0.243,0.00000166,0.123,0.303,150.002,4,1129602
"7fZlCmEKhOsG9klW3e2qEn","Haha (feat. Rambow)","El Papi, Rambow","2023-10-18 00:00:00.000000000",true,138704,0.644,0.616,1,-5.934,1,0.0344,0.00074,0.0355,0.463,0.542,126.898,4,1129601
"0eoNXHlt2V32uXCy60jCCa","Lenge Leve","UNDERGRUNN","2023-10-18 00:00:00.000000000",true,135346,0.74,0.789,7,-5.931,1,0.06,0.307,0.000122,0.74,0.842,130.042,4,1129600
"0hEX2JeG6jep9hVE5mXRuR","Hold my breath","Emma Steinbakken","2023-10-18 00:00:00.000000000",false,144841,0.641,0.277,9,-6.595,1,0.0349,0.95,0,0.212,0.724,95.572,3,1129599
"3JvKfv6T31zO0ini8iNItO","Another Love","Tom Odell","2023-10-18 00:00:00.000000000",true,244360,0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4,1129584
"1vYXt7VSjH9JIM5oRRo7vA","Dance The Night - From Barbie The Album","Dua Lipa","2023-10-18 00:00:00.000000000",false,176579,0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4,1129598
"08dWbd4W1hhUusqsJ7zk2J","Sommerhus","Marstein","2023-10-18 00:00:00.000000000",true,141714,0.794,0.458,9,-8.756,0,0.274,0.348,0.0000415,0.214,0.815,126.083,4,1129596
"3vkCueOmm7xQDoJ17W1Pm3","My Love Mine All Mine","Mitski","2023-10-18 00:00:00.000000000",false,137773,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4,1129595
"5VHLutQ8ioNLLbDsePHv9K","Superman","Bølgen","2023-10-18 00:00:00.000000000",true,171764,0.758,0.361,0,-8.956,1,0.0424,0.786,0,0.261,0.69,96.061,4,1129594
"0K6iKgHPPhAb4Acmg9aD77","On My Love","Zara Larsson, David Guetta","2023-10-18 00:00:00.000000000",false,222911,0.492,0.688,10,-4.989,0,0.046,0.0724,0.0029,0.0881,0.316,123.069,4,1129593
"0xU931puzHsdjnFHpuS5y0","Månen","Tyr, Stig Brenner","2023-10-18 00:00:00.000000000",true,220784,0.811,0.594,0,-6.808,1,0.0387,0.326,0.000119,0.34,0.739,114.038,4,1129592
"0XzWcSh30W1H1o4ZiyI90j","Floden","Emma Steinbakken, Hver gang vi møtes","2023-10-18 00:00:00.000000000",false,212962,0.443,0.438,6,-9.78,1,0.0276,0.246,0.0000518,0.116,0.148,90.012,3,1129591
"1kuGVB7EU95pJObxwvfwKS","vampire","Olivia Rodrigo","2023-10-18 00:00:00.000000000",true,219724,0.511,0.532,5,-5.745,1,0.0578,0.177,0,0.291,0.35,138.005,4,1129590
"0L4BkyT2W2hjR91aVFCauZ","marionett","Ramón","2023-10-18 00:00:00.000000000",false,179396,0.514,0.597,7,-8.931,0,0.125,0.583,0,0.0965,0.274,133.917,4,1129589
"2FDTHlrBguDzQkp7PVj16Q","Sprinter","Dave, Central Cee","2023-10-18 00:00:00.000000000",true,229133,0.916,0.583,1,-8.067,1,0.241,0.186,0,0.0798,0.661,141.095,4,1129588
"1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer","Taylor Swift","2023-10-18 00:00:00.000000000",false,178426,0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4,1129587
"6lEjeruLQP9MAnKKzThhsv","Turné","Bausa","2023-10-18 00:00:00.000000000",false,174986,0.547,0.57,3,-7.673,0,0.0528,0.422,0.0000907,0.319,0.347,139.728,4,1129586
"5XeFesFbtLpXzIVDNQP22n","I Wanna Be Yours","Arctic Monkeys","2023-10-18 00:00:00.000000000",false,183956,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4,1129597
"2J6OF7CkpdQGSfm1wdclqn","Clouded","Brent Faiyaz","2023-10-18 00:00:00.000000000",true,110128,0.583,0.344,2,-8.765,1,0.0559,0.774,0,0.143,0.581,65.203,3,1129556
"0V3wPSX9ygBnCm8psDIegu","Anti-Hero","Taylor Swift","2023-10-18 00:00:00.000000000",false,200690,0.637,0.643,4,-6.571,1,0.0519,0.13,0.0000018,0.142,0.533,97.008,4,1129555
"4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","OneRepublic","2023-10-18 00:00:00.000000000",false,148485,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,1129554
"5PyDJG7SQRgWXefgexqIge","Agora Hills","Doja Cat","2023-10-18 00:00:00.000000000",true,265360,0.755,0.687,8,-6.247,0,0.101,0.183,0.000177,0.125,0.381,123.01,4,1129524
"0ofHAoxe9vBkTCp2UQIavz","Dreams - 2004 Remaster","Fleetwood Mac","2023-10-18 00:00:00.000000000",false,257800,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4,1129520
"1yeB8MUNeLo9Ek1UEpsyz6","Rich Baby Daddy (feat. Sexyy Red & SZA)","Drake, Sexyy Red, SZA","2023-10-18 00:00:00.000000000",true,319191,0.645,0.729,2,-4.56,1,0.0528,0.0377,0,0.384,0.142,146.01,4,1129519
"3WMj8moIAXJhHsyLaqIIHI","Something in the Orange","Zach Bryan","2023-10-18 00:00:00.000000000",false,228013,0.369,0.192,4,-12.151,0,0.04,0.555,0.00000835,0.0954,0.148,175.212,3,1129525
"5h4mgbGijQ2CXMNuF4c4rW","La Ruta","Haquil, Valentino GRM, SMILE BEATS, JEYSON","2023-10-18 00:00:00.000000000",true,221100,0.562,0.72,7,-5.285,0,0.446,0.704,0,0.115,0.454,62.83,5,1129511
"0sfk352FO8bJUjWjIsyzSR","DONDE SE APRENDE A QUERER?","Mora","2023-10-18 00:00:00.000000000",false,144427,0.722,0.519,8,-10.142,1,0.297,0.555,0,0.118,0.779,170.058,4,1129510
"0J9g1MMJDhyvOb3NWckHMm","Chulo pt.2","Bad Gyal, Tokischa, Young Miko","2023-10-18 00:00:00.000000000",true,219333,0.852,0.881,5,-2.546,0,0.126,0.0602,0.00000644,0.0682,0.556,96.984,4,1129509
"3DeZc9cOc1DM8YNoJV8lAv","Toy en el Mic","Bizarrap, Milo j","2023-10-18 00:00:00.000000000",true,137053,0.73,0.423,8,-10.953,0,0.145,0.464,0,0.202,0.91,100.941,4,1129508
"6irysuQyZWd7Bjj7ePiOs2","Holanda","Jhayco","2023-10-18 00:00:00.000000000",true,231693,0.831,0.759,1,-3.627,0,0.0502,0.277,0,0.125,0.244,107.961,4,1129507
"3Nqc7BFu9MmNmFRpDTC6vJ","Tu Buay","Valentino GRM, SMILE BEATS","2023-10-18 00:00:00.000000000",false,138653,0.628,0.696,9,-5.955,0,0.402,0.189,0,0.134,0.559,118.667,5,1129506
"0PB0O24JqAuNdOAFVJljMS","Coco Chanel","Eladio Carrion, Bad Bunny","2023-10-18 00:00:00.000000000",true,208125,0.683,0.764,2,-5.995,1,0.0441,0.0427,0,0.0963,0.137,149.949,4,1129505
"3cDyocF0Ibdfs1SFQk5cLZ","Lollipop","Darell","2023-10-18 00:00:00.000000000",true,199946,0.822,0.711,6,-4.943,1,0.0668,0.179,0.0000146,0.083,0.934,102.984,4,1129504
"54zcJnb3tp9c5OVKREZ1Is","MI EX TENÍA RAZÓN","KAROL G","2023-10-18 00:00:00.000000000",false,154374,0.634,0.725,5,-4.945,0,0.0587,0.0776,0,0.211,0.795,159.845,4,1129503
"6Sq7ltF9Qa7SNFBsV5Cogx","Me Porto Bonito","Bad Bunny, Chencho Corleone","2023-10-18 00:00:00.000000000",true,178567,0.911,0.712,1,-5.105,0,0.0817,0.0901,0.0000268,0.0933,0.425,92.005,4,1129502
"7JwdbqIpiuWvGbRryKSuBz","Es un Secreto","Plan B","2023-10-18 00:00:00.000000000",false,190560,0.841,0.783,6,-4.915,0,0.0432,0.106,0.00000249,0.0528,0.514,94.989,4,1129501
"2G8vllTUQQHBjZORXRsMVP","Blue Eyed Māori","Corrella","2023-10-18 00:00:00.000000000",false,196393,0.833,0.552,9,-5.668,0,0.044,0.317,0.00000219,0.113,0.956,142.019,4,1129526
"4rXLjWdF2ZZpXCVTfWcshS","fukumean","Gunna","2023-10-18 00:00:00.000000000",true,125040,0.847,0.622,1,-6.747,0,0.0903,0.119,0,0.285,0.22,130.001,4,1129527
"6WzRpISELf3YglGAh7TXcG","Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series","The Weeknd, Playboi Carti, Madonna","2023-10-18 00:00:00.000000000",true,215466,0.855,0.678,1,-6.276,1,0.189,0.0569,0.0000369,0.412,0.852,99.029,4,1129528
"2LawezPeJhN4AWuSB0GtAU","Have You Ever Seen The Rain","Creedence Clearwater Revival","2023-10-18 00:00:00.000000000",false,160133,0.741,0.697,0,-7.028,1,0.0277,0.0664,0.0000228,0.133,0.774,116.109,4,1129553
